Caribbean and Central America,,,,,,
,,,,,,
PROPERTY FIELDS DEFINITION (v1.0),,,,,,
,,,,,,
No.,NAME FIELD,DATA TYPE,DESCRIPTION,REQUIRED,MANDATORY,
1,ListingId,integer,Field generated automatically to identify a listing in the system,N,N,
2,ListingKey,varchar(10),Field generated automatically to identify a listing for the users,N,N,
3,ListingContractType,integer,Field to identify the type of contract for a listing,Y,Y,
4,PropertyTitle_en,varchar(75),Field to identify the title of a listing in english.,Y,Y,"(Only one field is required: If you enter propertytitle_en (english), you can enter ' ' in propertytitle_es )"
5,PropertyTitle_es,varchar(75),Field to identify the title of a listing in spanish.,Y,Y,"(Only one field is required: If you enter propertytitle_es (spanish), you can enter ' ' in propertytitle_en )"
6,PublicRemarks_en,varchar(max),Field to identify public remarks in english.,Y,Y,"(Only one field is required: If you enter Publicremarks_en (english), you can enter ' ' in publicremarks_es )"
7,PublicRemarks_es,varchar(max),Field to identify public remarks in spanish.,Y,Y,"(Only one field is required: If you enter Publicremarks_en (english), you can enter ' ' in publicremarks_es )"
8,StandardStatusId,integer,Field to identify different status of a listing.,Y,Y,"(Only one field is required: If you enter Publicremarks_es (spanish), you can enter ' ' in publicremarks_en )"
9,ListingProbableUseId,integer,Field to identify different probable use of a property,Y,Y,
10,PropertyTypeId,integer,Field to identify the property type.,Y,Y,
11,PropertyGeneralLocationId,integer,Field to identify the property general location,Y,Y,
12,PropertyNewYN,boolean,Field to identify if the property is new or used.,Y,Y,
13,FurnishedYN,boolean,Field to identify if the property is furnished or not.,Y,Y,
14,ListingContractDate,date,Field to identify the date of the property contract.,Y,Y,
15,ExpirationDate,date,Field to identify the date of expiration of the property contract.,Y,Y,
16,OwnerName,varchar(50),Field to identify the name of the owner of the property,N,N,
17,OwnerPhones,varchar(50),Field to identify phones numbers of the owner of the property.,N,N,
18,OwnerEmail,varchar(50),Field to identify email of the owner of the property.,N,N,
19,ListingAgreementYN,integer,Field to identify if the listing is exclusive or not.,Y,Y,
20,ListingSideComm,decimal,Field to identify the listing side commission of the property.,N,N,
21,SellingSideComm,decimal,Field to identify the selling side commission of the property.,N,N,
22,CloseListingCommAmount,decimal,Field to identify the close listing side commission of the property.,N,N,
23,CloseSellingCommAmount,decimal,Field to identify the close selling side commission of the property.,N,N,
24,PrivateRemarks_en,varchar(max),Field to identify private remarks in english.,Y,Y,"(If you don't have private remarks, you can enter ' ')"
25,PrivateRemarks_es,varchar(max),Field to identify private remarks in spanish.,Y,Y,"(If you don't have private remarks, you can enter ' ')"
26,CountryID,integer,Field to identify the country of the property,Y,Y,
27,StateDepProvID,integer,Field to identify the state or departmente or province of the property,Y,Y,
28,LocationID,integer,Field to identify the location of the property,Y,Y,
29,Latitude,nchar(10),Field to identify Latitude of the property,Y,Y,
30,Longitude,nchar(10),Field to identify Longitude of the property,Y,Y,
31,PostalCode,varchar(15),Field to identify the postal code of the property,N,N,
32,UnparsedAddress,varchar(200),Field to identify the address of the property.,Y,Y,
33,UnparsedAddressPublicYN,boolean,Field to identify if the address of the property will be public or not.,Y,Y,
34,ShowingInstruction,varchar(200),Field to identify the instruction or showing information for the property.,N,N,
35,GarageYN,boolean,Field to identify if the property have a garage or not.,N,N,
36,GarageCovered,integer,Field to identify if the property have a covered garage or not.,N,N,
37,GarageOpen,integer,Field to identify if the property have an open garage or not.,N,N,
38,GarageSpaces,integer,Field to identify the spaces of the garage in the property.,N,N,
39,GarageNotes,varchar(100),Field to describe the garage of the property.,N,N,
40,MaidRoomYN,integer,Field to identify if the property have a maid room or not.,N,N,
41,CoolingYN,boolean,Field to identify if the property have air conditioning or not.,N,N,
42,CoolingNotes,varchar(100),Field to describe the air conditioning of the property.,N,N,
43,PoolprivateYN,boolean,Field to identify if the property have a pool or not.,N,N,
44,ViewYN,boolean,Field to identify if the property have a view or not.,N,N,
45,ViewNotes,Varchar(100),Field to describe the view of the property.,N,N,
46,BedroomsTotal,integer,Field to identify the number fo bedrooms of the property.,N,N,
47,BedroomsNotes,varchar(100),Field to describe the bedrooms of the property.,N,N,
48,BathroomsFull,integer,Field to identify the number of bathrooms of the property.,N,N,
49,BathroomsNotes,varchar(100),Field to describe the bathrooms of the property.,N,N,
50,BathroomsHalf,integer,Field to identify the number of half bathrooms of the property.,N,N,
51,BathroomsHalfNotes,varchar(100),Field to describe the half bathrooms of the property.,N,N,
52,Stories,integer,Field to identify the number of stories of the property.,N,N,
53,StoriesNotes,varchar(100),Field to describe the stories of the property.,N,N,
54,LotSizeArea,decimal,Field to identify the lot size of the property.,Y,Y,
55,LotSizeAreaUnitsId,integer,Field to identify the area unit of the lot size of the property.,Y,Y,
56,ConstructionSizeLiving,decimal,Field to identify the living construction size of the property,N,N,
57,ConstructionSizeGarage,decimal,"Field to identify the garage, porshe,deck,etc construction size of the property.",N,N,
58,ConstructionSizeUnitId,integer,Field to identify the area unit of the construction size of the property.,Y,Y,
59,YearBuilt,integer,Field to identify the year of built of the property.,N,N,
60,AssociationYN,boolean,Field to identify if the property have HOA (Home Owner Association) or not,N,N,
61,AssociationNotes,varchar(50),Field to describe the terms and amoun of HOA.,N,N,
62,GatedCommunityYN,boolean,Field to identify if the property have a Gated Community or not.,N,N,
63,ListPrice,decimal,Field to identify the list price of the property.,Y,Y,
64,ListPriceCurrencyId,integer,Field to identify the currency of the list price of the property,Y,Y,
65,ClosePrice,decimal,Field to identify the close price of the property.,N,N,
66,ClosePriceCurrencyId,integer,Field to identify the currency of the close price of the property,N,N,
67,CloseDate,date,Field to identify the close date of the property,N,N,
68,Videolink,varchar(50),Field to identify the video link that shows a video about the property.,N,N,
69,SEO_title,varchar(100),Field to describe the SEO title of the property.,Y,Y,
70,SEO_Description,varchar(100),Field to describe the SEO Description of the property.,Y,Y,
71,SEO_Keywords,varchar(100),Field to describe the Keywords of the property.,Y,Y,